;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A02;SYBR;PRDX;Unkn;N2_1B;;24,263225424807;24,263225424807;0;NaN;NaN;NaN;0;60;
;A03;SYBR;PRDX;Unkn;N2_2A;;25,092231776538;25,092231776538;0;NaN;NaN;NaN;0;60;
;A04;SYBR;PRDX;Unkn;N2_2B;;23,5382969633102;23,5382969633102;0;NaN;NaN;NaN;0;60;
;A05;SYBR;PRDX;Unkn;N2_3A;;24,3037756107745;24,3037756107745;0;NaN;NaN;NaN;0;60;
;A06;SYBR;PRDX;Unkn;N2_3B;;23,4734366723435;23,4734366723435;0;NaN;NaN;NaN;0;60;
;A07;SYBR;PRDX;Unkn;N2_4A;;22,0680258715793;22,0680258715793;0;NaN;NaN;NaN;0;60;
;A08;SYBR;PRDX;Unkn;N2_4B;;25,072782343616;25,072782343616;0;NaN;NaN;NaN;0;60;
;A09;SYBR;PRDX;Unkn;N2_5A;;23,1127940760737;23,1127940760737;0;NaN;NaN;NaN;0;60;
;A10;SYBR;PRDX;Unkn;N2_5B;;22,9824838350136;22,9824838350136;0;NaN;NaN;NaN;0;60;
;A11;SYBR;PRDX;Unkn;N2_6A;;23,2581745762863;23,2581745762863;0;NaN;NaN;NaN;0;60;
;A12;SYBR;PRDX;Unkn;N2_6B;;24,2469606165464;24,2469606165464;0;NaN;NaN;NaN;0;60;
;B01;SYBR;PRDX;Unkn;N2_7A;;24,058641734503;24,058641734503;0;NaN;NaN;NaN;0;60;
;B02;SYBR;PRDX;Unkn;N2_7B;;24,1730530600022;24,1730530600022;0;NaN;NaN;NaN;0;60;
;B03;SYBR;PRDX;Unkn;N2_8A;;22,697872491042;22,697872491042;0;NaN;NaN;NaN;0;60;
;B04;SYBR;PRDX;Unkn;N2_8B;;22,6450611461207;22,6450611461207;0;NaN;NaN;NaN;0;60;
;B05;SYBR;PRDX;Unkn;N2_8C;;22,3366432195648;22,3366432195648;0;NaN;NaN;NaN;0;60;
;B06;SYBR;PRDX;Unkn;N2_8D;;24,0004812455081;24,0004812455081;0;NaN;NaN;NaN;0;60;
;B07;SYBR;PRDX;Unkn;N2_9A;;23,1879547025392;23,1879547025392;0;NaN;NaN;NaN;0;60;
;B08;SYBR;PRDX;Unkn;N2_9B;;23,2061476847977;23,2061476847977;0;NaN;NaN;NaN;0;60;
;B09;SYBR;PRDX;Unkn;N2_9C;;23,7382786347249;23,7382786347249;0;NaN;NaN;NaN;0;60;
;B10;SYBR;PRDX;Unkn;N2_9D;;23,2779096492515;23,2779096492515;0;NaN;NaN;NaN;0;60;
;B11;SYBR;PRDX;Unkn;N2_10A;;24,8707650770057;24,8707650770057;0;NaN;NaN;NaN;0;60;
;B12;SYBR;PRDX;Unkn;N2_10B;;23,643436956117;23,643436956117;0;NaN;NaN;NaN;0;60;
;C01;SYBR;PRDX;Unkn;N2_10C;;25,6542985805597;25,6542985805597;0;NaN;NaN;NaN;0;60;
;C02;SYBR;PRDX;Unkn;N2_10D;;25,5206223833909;25,5206223833909;0;NaN;NaN;NaN;0;60;
;C03;SYBR;PRDX;Unkn;N2_11A;;23,9202950425378;23,9202950425378;0;NaN;NaN;NaN;0;60;
;C04;SYBR;PRDX;Unkn;N2_11B;;22,9847411775165;22,9847411775165;0;NaN;NaN;NaN;0;60;
;C06;SYBR;PRDX;Unkn;N2_11D;;25,6733681701639;25,6733681701639;0;NaN;NaN;NaN;0;60;
;C07;SYBR;PRDX;Unkn;N2_12A;;23,8693267139364;23,8693267139364;0;NaN;NaN;NaN;0;60;
;C08;SYBR;PRDX;Unkn;N2_12B;;24,2935960274065;24,2935960274065;0;NaN;NaN;NaN;0;60;
;C09;SYBR;PRDX;Unkn;N2_12C;;26,2532465841028;26,2532465841028;0;NaN;NaN;NaN;0;60;
;C10;SYBR;PRDX;Unkn;N2_12D;;25,5345700976257;25,5345700976257;0;NaN;NaN;NaN;0;60;
;C11;SYBR;PRDX;Unkn;N2_13A;;22,8141865404375;22,8141865404375;0;NaN;NaN;NaN;0;60;
;C12;SYBR;PRDX;Unkn;N2_13B;;21,2329398914688;21,2329398914688;0;NaN;NaN;NaN;0;60;
;D01;SYBR;PRDX;Unkn;N2_13C;;24,8510419269707;24,8510419269707;0;NaN;NaN;NaN;0;60;
;D02;SYBR;PRDX;Unkn;N2_13D;;25,3659450916791;25,3659450916791;0;NaN;NaN;NaN;0;60;
;D03;SYBR;PRDX;NTC;NTC;;NaN;0;0;NaN;NaN;0;0;60;
;D05;SYBR;PRDX;Unkn;I1_1A;;34,4553400726297;34,4553400726297;0;NaN;NaN;NaN;0;60;
;D06;SYBR;PRDX;Unkn;I1_1B;;34,5574956818667;34,5574956818667;0;NaN;NaN;NaN;0;60;
;D07;SYBR;PRDX;Unkn;I1_2A;;22,689160099453;22,689160099453;0;NaN;NaN;NaN;0;60;
;D09;SYBR;PRDX;Unkn;I1_3A;;22,7111469612704;22,7111469612704;0;NaN;NaN;NaN;0;60;
;D10;SYBR;PRDX;Unkn;I1_3B;;22,3886424234055;22,3886424234055;0;NaN;NaN;NaN;0;60;
;D11;SYBR;PRDX;Unkn;I1_4A;;24,571895386557;24,571895386557;0;NaN;NaN;NaN;0;60;
;D12;SYBR;PRDX;Unkn;I1_4B;;24,0590111854992;24,0590111854992;0;NaN;NaN;NaN;0;60;
;E01;SYBR;PRDX;Unkn;I1_5A;;22,3726717068509;22,3726717068509;0;NaN;NaN;NaN;0;60;
;E02;SYBR;PRDX;Unkn;I1_5B;;22,7726720160347;22,7726720160347;0;NaN;NaN;NaN;0;60;
;E03;SYBR;PRDX;Unkn;I1_6A;;23,3371416454121;23,3371416454121;0;NaN;NaN;NaN;0;60;
;E04;SYBR;PRDX;Unkn;I1_6B;;22,1832456458248;22,1832456458248;0;NaN;NaN;NaN;0;60;
;E05;SYBR;PRDX;Unkn;I1_7A;;24,7699648736851;24,7699648736851;0;NaN;NaN;NaN;0;60;
