;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;LUX;Unkn;N2_1A;;29,583500808782;29,583500808782;0;NaN;NaN;NaN;0;60;
;A02;SYBR;LUX;Unkn;N2_1B;;33,4310473926685;33,4310473926685;0;NaN;NaN;NaN;0;60;
;A03;SYBR;LUX;Unkn;N2_2A;;29,9675792084706;29,9675792084706;0;NaN;NaN;NaN;0;60;
;A04;SYBR;LUX;Unkn;N2_2B;;31,1736197182877;31,1736197182877;0;NaN;NaN;NaN;0;60;
;A05;SYBR;LUX;Unkn;N2_3A;;28,7417458978732;28,7417458978732;0;NaN;NaN;NaN;0;60;
;A06;SYBR;LUX;Unkn;N2_3B;;26,505148546845;26,505148546845;0;NaN;NaN;NaN;0;60;
;A07;SYBR;LUX;Unkn;N2_4A;;30,0779271502917;30,0779271502917;0;NaN;NaN;NaN;0;60;
;A08;SYBR;LUX;Unkn;N2_4B;;30,5615469331016;30,5615469331016;0;NaN;NaN;NaN;0;60;
;A09;SYBR;LUX;Unkn;N2_5A;;28,9207739763393;28,9207739763393;0;NaN;NaN;NaN;0;60;
;A10;SYBR;LUX;Unkn;N2_5B;;28,3762830356189;28,3762830356189;0;NaN;NaN;NaN;0;60;
;A11;SYBR;LUX;Unkn;N2_6A;;28,286718703156;28,286718703156;0;NaN;NaN;NaN;0;60;
;A12;SYBR;LUX;Unkn;N2_6B;;29,5373400044653;29,5373400044653;0;NaN;NaN;NaN;0;60;
;B01;SYBR;LUX;Unkn;N2_7A;;29,9176793505771;29,9176793505771;0;NaN;NaN;NaN;0;60;
;B02;SYBR;LUX;Unkn;N2_7B;;30,9224754384916;30,9224754384916;0;NaN;NaN;NaN;0;60;
;B03;SYBR;LUX;Unkn;N2_8A;;29,6452740567356;29,6452740567356;0;NaN;NaN;NaN;0;60;
;B04;SYBR;LUX;Unkn;N2_8B;;31,2008157379244;31,2008157379244;0;NaN;NaN;NaN;0;60;
;B05;SYBR;LUX;Unkn;N2_8C;;32,5377280448251;32,5377280448251;0;NaN;NaN;NaN;0;60;
;B06;SYBR;LUX;Unkn;N2_8D;;31,7755264393022;31,7755264393022;0;NaN;NaN;NaN;0;60;
;B07;SYBR;LUX;Unkn;N2_9A;;28,4408291330362;28,4408291330362;0;NaN;NaN;NaN;0;60;
;B08;SYBR;LUX;Unkn;N2_9B;;26,9052501852865;26,9052501852865;0;NaN;NaN;NaN;0;60;
;B09;SYBR;LUX;Unkn;N2_9C;;29,5151392665863;29,5151392665863;0;NaN;NaN;NaN;0;60;
;B10;SYBR;LUX;Unkn;N2_9D;;31,666405005778;31,666405005778;0;NaN;NaN;NaN;0;60;
;B12;SYBR;LUX;Unkn;N2_10B;;27,792812367301;27,792812367301;0;NaN;NaN;NaN;0;60;
;C01;SYBR;LUX;Unkn;N2_10C;;30,9388254393721;30,9388254393721;0;NaN;NaN;NaN;0;60;
;C02;SYBR;LUX;Unkn;N2_10D;;29,652092660674;29,652092660674;0;NaN;NaN;NaN;0;60;
;C03;SYBR;LUX;Unkn;N2_11A;;28,0213715154522;28,0213715154522;0;NaN;NaN;NaN;0;60;
;C04;SYBR;LUX;Unkn;N2_11B;;29,2450423717743;29,2450423717743;0;NaN;NaN;NaN;0;60;
;C05;SYBR;LUX;Unkn;N2_11C;;28,7958824804662;28,7958824804662;0;NaN;NaN;NaN;0;60;
;C06;SYBR;LUX;Unkn;N2_11D;;29,2914649895272;29,2914649895272;0;NaN;NaN;NaN;0;60;
;C07;SYBR;LUX;Unkn;N2_12A;;28,140298778692;28,140298778692;0;NaN;NaN;NaN;0;60;
;C08;SYBR;LUX;Unkn;N2_12B;;29,3994250618428;29,3994250618428;0;NaN;NaN;NaN;0;60;
;C09;SYBR;LUX;Unkn;N2_12C;;28,3369561084972;28,3369561084972;0;NaN;NaN;NaN;0;60;
;C10;SYBR;LUX;Unkn;N2_12D;;28,0011904076319;28,0011904076319;0;NaN;NaN;NaN;0;60;
;C11;SYBR;LUX;Unkn;N2_13A;;29,9675717519572;29,9675717519572;0;NaN;NaN;NaN;0;60;
;C12;SYBR;LUX;Unkn;N2_13B;;31,5007169531477;31,5007169531477;0;NaN;NaN;NaN;0;60;
;D01;SYBR;LUX;Unkn;N2_13C;;28,2441581736352;28,2441581736352;0;NaN;NaN;NaN;0;60;
;D02;SYBR;LUX;Unkn;N2_13D;;27,8929391880725;27,8929391880725;0;NaN;NaN;NaN;0;60;
;D03;SYBR;LUX;NTC;NTC;;NaN;0;0;NaN;NaN;0;0;60;
;D05;SYBR;LUX;Unkn;I1_1A;;29,8888848109488;29,8888848109488;0;NaN;NaN;NaN;0;60;
;D06;SYBR;LUX;Unkn;I1_1B;;32,0322160588297;32,0322160588297;0;NaN;NaN;NaN;0;60;
;D07;SYBR;LUX;Unkn;I1_2A;;31,8484320870954;31,8484320870954;0;NaN;NaN;NaN;0;60;
;D08;SYBR;LUX;Unkn;I1_2B;;30,8571779450459;30,8571779450459;0;NaN;NaN;NaN;0;60;
;D09;SYBR;LUX;Unkn;I1_3A;;29,0097669782637;29,0097669782637;0;NaN;NaN;NaN;0;60;
;D11;SYBR;LUX;Unkn;I1_4A;;26,860418159106;26,860418159106;0;NaN;NaN;NaN;0;60;
;D12;SYBR;LUX;Unkn;I1_4B;;28,595209239049;28,595209239049;0;NaN;NaN;NaN;0;60;
;E01;SYBR;LUX;Unkn;I1_5A;;27,1935180771699;27,1935180771699;0;NaN;NaN;NaN;0;60;
;E02;SYBR;LUX;Unkn;I1_5B;;29,0112487286567;29,0112487286567;0;NaN;NaN;NaN;0;60;
;E03;SYBR;LUX;Unkn;I1_6A;;29,867195017742;29,867195017742;0;NaN;NaN;NaN;0;60;
;E04;SYBR;LUX;Unkn;I1_6B;;32,2261904010983;32,2261904010983;0;NaN;NaN;NaN;0;60;
;E05;SYBR;LUX;Unkn;I1_7A;;31,316547034133;31,316547034133;0;NaN;NaN;NaN;0;60;
;E06;SYBR;LUX;Unkn;I1_7B;;33,3678553974018;33,3678553974018;0;NaN;NaN;NaN;0;60;
;E07;SYBR;LUX;Unkn;I1_8A;;33,292089679416;33,292089679416;0;NaN;NaN;NaN;0;60;
;E08;SYBR;LUX;Unkn;I1_8B;;36,0674817110047;36,0674817110047;0;NaN;NaN;NaN;0;60;
;E09;SYBR;LUX;Unkn;I1_8C;;33,0878674464345;33,0878674464345;0;NaN;NaN;NaN;0;60;
;E10;SYBR;LUX;Unkn;I1_8D;;31,2400527034377;31,2400527034377;0;NaN;NaN;NaN;0;60;
;E11;SYBR;LUX;Unkn;I1_9A;;28,2706791818962;28,2706791818962;0;NaN;NaN;NaN;0;60;
;E12;SYBR;LUX;Unkn;I1_9B;;27,1191116208813;27,1191116208813;0;NaN;NaN;NaN;0;60;
;F01;SYBR;LUX;Unkn;I1_9C;;32,7364524361561;32,7364524361561;0;NaN;NaN;NaN;0;60;
;F02;SYBR;LUX;Unkn;I1_9D;;29,5099870009699;29,5099870009699;0;NaN;NaN;NaN;0;60;
;F03;SYBR;LUX;Unkn;I1_10A;;27,3873624322956;27,3873624322956;0;NaN;NaN;NaN;0;60;
;F04;SYBR;LUX;Unkn;I1_10B;;26,6549695410091;26,6549695410091;0;NaN;NaN;NaN;0;60;
;F05;SYBR;LUX;Unkn;I1_10C;;32,2094012461347;32,2094012461347;0;NaN;NaN;NaN;0;60;
;F06;SYBR;LUX;Unkn;I1_10D;;29,0806743571411;29,0806743571411;0;NaN;NaN;NaN;0;60;
;F07;SYBR;LUX;Unkn;I1_11A;;28,2122314846899;28,2122314846899;0;NaN;NaN;NaN;0;60;
;F08;SYBR;LUX;Unkn;I1_11B;;28,2524760898622;28,2524760898622;0;NaN;NaN;NaN;0;60;
;F09;SYBR;LUX;Unkn;I1_11C;;30,2854803028219;30,2854803028219;0;NaN;NaN;NaN;0;60;
