,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,PRR9,Unkn,N13_1A,,"35,7493910917356","35,7493910917356",0,NaN,NaN,NaN,0,60,
,A02,SYBR,PRR9,Unkn,N13_1B,,"36,1852937501505","36,1852937501505",0,NaN,NaN,NaN,0,60,
,A03,SYBR,PRR9,Unkn,N13_2A,,"29,036502084461","29,036502084461",0,NaN,NaN,NaN,0,60,
,A04,SYBR,PRR9,Unkn,N13_2B,,"26,4981347749315","26,4981347749315",0,NaN,NaN,NaN,0,60,
,A05,SYBR,PRR9,Unkn,N13_3A,,"26,1131736589539","26,1131736589539",0,NaN,NaN,NaN,0,60,
,A06,SYBR,PRR9,Unkn,N13_3B,,"31,1236260048109","31,1236260048109",0,NaN,NaN,NaN,0,60,
,A07,SYBR,PRR9,Unkn,N13_4A,,"25,2288587549445","25,2288587549445",0,NaN,NaN,NaN,0,60,
,A08,SYBR,PRR9,Unkn,N13_4B,,"26,5540475701691","26,5540475701691",0,NaN,NaN,NaN,0,60,
,A09,SYBR,PRR9,Unkn,N13_5A,,"27,1767164791205","27,1767164791205",0,NaN,NaN,NaN,0,60,
,A10,SYBR,PRR9,Unkn,N13_5B,,"31,4334723266477","31,4334723266477",0,NaN,NaN,NaN,0,60,
,A11,SYBR,PRR9,Unkn,N13_6A,,"31,5042888183052","31,5042888183052",0,NaN,NaN,NaN,0,60,
,A12,SYBR,PRR9,Unkn,N13_6B,,"35,541578717949","35,541578717949",0,NaN,NaN,NaN,0,60,
,B01,SYBR,PRR9,Unkn,N13_7A,,"33,5226155591154","33,5226155591154",0,NaN,NaN,NaN,0,60,
,B02,SYBR,PRR9,Unkn,N13_7B,,"39,9870192804717","39,9870192804717",0,NaN,NaN,NaN,0,60,
,B03,SYBR,PRR9,Unkn,N13_8A,,"29,4125476056556","29,4125476056556",0,NaN,NaN,NaN,0,60,
,B04,SYBR,PRR9,Unkn,N13_8B,,"26,6152240502648","26,6152240502648",0,NaN,NaN,NaN,0,60,
