;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;PRDX;Unkn;N13_1A;;23,115474530047;23,115474530047;0;NaN;NaN;NaN;0;60;
;A02;SYBR;PRDX;Unkn;N13_1B;;23,0321273249956;23,0321273249956;0;NaN;NaN;NaN;0;60;
;A03;SYBR;PRDX;Unkn;N13_2A;;22,2390239321373;22,2390239321373;0;NaN;NaN;NaN;0;60;
;A04;SYBR;PRDX;Unkn;N13_2B;;23,6121300551891;23,6121300551891;0;NaN;NaN;NaN;0;60;
;A05;SYBR;PRDX;Unkn;N13_3A;;21,4212928009269;21,4212928009269;0;NaN;NaN;NaN;0;60;
;A06;SYBR;PRDX;Unkn;N13_3B;;22,0073261114818;22,0073261114818;0;NaN;NaN;NaN;0;60;
;A07;SYBR;PRDX;Unkn;N13_4A;;21,0506137885287;21,0506137885287;0;NaN;NaN;NaN;0;60;
;A08;SYBR;PRDX;Unkn;N13_4B;;21,0326828044607;21,0326828044607;0;NaN;NaN;NaN;0;60;
;A09;SYBR;PRDX;Unkn;N13_5A;;21,6991083799943;21,6991083799943;0;NaN;NaN;NaN;0;60;
;A10;SYBR;PRDX;Unkn;N13_5B;;21,5359913031691;21,5359913031691;0;NaN;NaN;NaN;0;60;
;A11;SYBR;PRDX;Unkn;N13_6A;;22,0577891158933;22,0577891158933;0;NaN;NaN;NaN;0;60;
;A12;SYBR;PRDX;Unkn;N13_6B;;21,7843717150445;21,7843717150445;0;NaN;NaN;NaN;0;60;
;B01;SYBR;PRDX;Unkn;N13_7A;;22,7030659859185;22,7030659859185;0;NaN;NaN;NaN;0;60;
;B02;SYBR;PRDX;Unkn;N13_7B;;22,5456909272955;22,5456909272955;0;NaN;NaN;NaN;0;60;
;B03;SYBR;PRDX;Unkn;N13_8A;;21,241904501338;21,241904501338;0;NaN;NaN;NaN;0;60;
;B04;SYBR;PRDX;Unkn;N13_8B;;21,894242722262;21,894242722262;0;NaN;NaN;NaN;0;60;
;B05;SYBR;PRDX;Unkn;N13_8C;;22,1141006586294;22,1141006586294;0;NaN;NaN;NaN;0;60;
;B06;SYBR;PRDX;Unkn;N13_8D;;22,2119673912502;22,2119673912502;0;NaN;NaN;NaN;0;60;
;B07;SYBR;PRDX;Unkn;N13_9A;;22,1892187898666;22,1892187898666;0;NaN;NaN;NaN;0;60;
;B08;SYBR;PRDX;Unkn;N13_9B;;22,8671753601212;22,8671753601212;0;NaN;NaN;NaN;0;60;
;B09;SYBR;PRDX;Unkn;N13_9D;;22,5578610854016;22,5578610854016;0;NaN;NaN;NaN;0;60;
;B10;SYBR;PRDX;Unkn;N13_9C;;22,3089136354975;22,3089136354975;0;NaN;NaN;NaN;0;60;
;B11;SYBR;PRDX;Unkn;N13_10A;;22,46740179152;22,46740179152;0;NaN;NaN;NaN;0;60;
;B12;SYBR;PRDX;Unkn;N13_10B;;23,1751884900503;23,1751884900503;0;NaN;NaN;NaN;0;60;
;C01;SYBR;PRDX;Unkn;N13_10C;;24,2415671299191;24,2415671299191;0;NaN;NaN;NaN;0;60;
;C02;SYBR;PRDX;Unkn;N13_10D;;26,3199218929779;26,3199218929779;0;NaN;NaN;NaN;0;60;
;C03;SYBR;PRDX;Unkn;N13_11A;;23,9697171641925;23,9697171641925;0;NaN;NaN;NaN;0;60;
;C04;SYBR;PRDX;Unkn;N13_11B;;23,881725562578;23,881725562578;0;NaN;NaN;NaN;0;60;
;C05;SYBR;PRDX;Unkn;N13_11C;;26,6358389533481;26,6358389533481;0;NaN;NaN;NaN;0;60;
