;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;PRR5;Unkn;N13_1A;;29.76;29.76;0.000;;;;0.00000;60.0;
;A02;SYBR;PRR5;Unkn;N13_1B;;32.39;32.39;0.000;;;;0.00000;60.0;
;A03;SYBR;PRR5;Unkn;N13_2A;;27.51;27.51;0.000;;;;0.00000;60.0;
;A04;SYBR;PRR5;Unkn;N13_2B;;27.76;27.76;0.000;;;;0.00000;60.0;
;A05;SYBR;PRR5;Unkn;N13_3A;;25.27;25.27;0.000;;;;0.00000;60.0;
;A06;SYBR;PRR5;Unkn;N13_3B;;24.00;24.00;0.000;;;;0.00000;60.0;
;A07;SYBR;PRR5;Unkn;N13_4A;;23.74;23.74;0.000;;;;0.00000;60.0;
;A08;SYBR;PRR5;Unkn;N13_4B;;23.38;23.38;0.000;;;;0.00000;60.0;
;A09;SYBR;PRR5;Unkn;N13_5A;;24.32;24.32;0.000;;;;0.00000;60.0;
;A10;SYBR;PRR5;Unkn;N13_5B;;26.08;26.08;0.000;;;;0.00000;60.0;
;A11;SYBR;PRR5;Unkn;N13_6A;;25.88;25.88;0.000;;;;0.00000;60.0;
;A12;SYBR;PRR5;Unkn;N13_6B;;30.96;30.96;0.000;;;;0.00000;60.0;
;B01;SYBR;PRR5;Unkn;N13_7A;;28.00;28.00;0.000;;;;0.00000;60.0;
;B02;SYBR;PRR5;Unkn;N13_7B;;32.15;32.15;0.000;;;;0.00000;60.0;
;B03;SYBR;PRR5;Unkn;N13_8A;;26.95;26.95;0.000;;;;0.00000;60.0;
;B04;SYBR;PRR5;Unkn;N13_8B;;26.27;26.27;0.000;;;;0.00000;60.0;
;B05;SYBR;PRR5;Unkn;N13_8C;;31.00;31.00;0.000;;;;0.00000;60.0;
;B06;SYBR;PRR5;Unkn;N13_8D;;28.37;28.37;0.000;;;;0.00000;60.0;
;B07;SYBR;PRR5;Unkn;N13_9A;;25.46;25.46;0.000;;;;0.00000;60.0;
;B08;SYBR;PRR5;Unkn;N13_9B;;23.81;23.81;0.000;;;;0.00000;60.0;
;B09;SYBR;PRR5;Unkn;N13_9C;;28.25;28.25;0.000;;;;0.00000;60.0;
;B10;SYBR;PRR5;Unkn;N13_9D;;25.90;25.90;0.000;;;;0.00000;60.0;
;B11;SYBR;PRR5;Unkn;N13_10A;;24.76;24.76;0.000;;;;0.00000;60.0;
;B12;SYBR;PRR5;Unkn;N13_10B;;25.38;25.38;0.000;;;;0.00000;60.0;
;C01;SYBR;PRR5;Unkn;N13_10C;;26.01;26.01;0.000;;;;0.00000;60.0;
;C02;SYBR;PRR5;Unkn;N13_10D;;26.59;26.59;0.000;;;;0.00000;60.0;
;C03;SYBR;PRR5;Unkn;N13_11A;;25.90;25.90;0.000;;;;0.00000;60.0;
;C04;SYBR;PRR5;Unkn;N13_11B;;27.65;27.65;0.000;;;;0.00000;60.0;
;C05;SYBR;PRR5;Unkn;N13_11C;;26.46;26.46;0.000;;;;0.00000;60.0;
;C06;SYBR;PRR5;Unkn;N13_11D;;26.03;26.03;0.000;;;;0.00000;60.0;
;C07;SYBR;PRR5;Unkn;N13_12A;;26.95;26.95;0.000;;;;0.00000;60.0;
;C08;SYBR;PRR5;Unkn;N13_12B;;32.36;32.36;0.000;;;;0.00000;60.0;
;C09;SYBR;PRR5;Unkn;N13_12C;;27.53;27.53;0.000;;;;0.00000;60.0;
;C10;SYBR;PRR5;Unkn;N13_12D;;27.23;27.23;0.000;;;;0.00000;60.0;
;C11;SYBR;PRR5;Unkn;N13_13A;;29.91;29.91;0.000;;;;0.00000;60.0;
;C12;SYBR;PRR5;Unkn;N13_13B;;29.72;29.72;0.000;;;;0.00000;60.0;
;D01;SYBR;PRR5;Unkn;N13_13C;;26.70;26.70;0.000;;;;0.00000;60.0;
;D02;SYBR;PRR5;Unkn;N13_13D;;26.74;26.74;0.000;;;;0.00000;60.0;
;D03;SYBR;PRR5;Unkn;BLANK;;;0.00;0.000;;;0.00000;0.00000;60.0;
;D05;SYBR;PRR5;Unkn;I4_1A;;28.16;28.16;0.000;;;;0.00000;60.0;
;D06;SYBR;PRR5;Unkn;I4_1B;;32.32;32.32;0.000;;;;0.00000;60.0;
;D07;SYBR;PRR5;Unkn;I4_2A;;30.28;30.28;0.000;;;;0.00000;60.0;
;D08;SYBR;PRR5;Unkn;I4_2B;;26.13;26.13;0.000;;;;0.00000;60.0;
;D09;SYBR;PRR5;Unkn;I4_3A;;24.92;24.92;0.000;;;;0.00000;60.0;
;D10;SYBR;PRR5;Unkn;I4_3B;;24.71;24.71;0.000;;;;0.00000;60.0;
;D11;SYBR;PRR5;Unkn;I4_4A;;24.22;24.22;0.000;;;;0.00000;60.0;
;D12;SYBR;PRR5;Unkn;I4_4B;;24.20;24.20;0.000;;;;0.00000;60.0;
;E01;SYBR;PRR5;Unkn;I4_5A;;24.02;24.02;0.000;;;;0.00000;60.0;
;E02;SYBR;PRR5;Unkn;I4_5B;;26.39;26.39;0.000;;;;0.00000;60.0;
;E03;SYBR;PRR5;Unkn;I4_6A;;27.20;27.20;0.000;;;;0.00000;60.0;
;E04;SYBR;PRR5;Unkn;I4_6B;;31.23;31.23;0.000;;;;0.00000;60.0;
;E05;SYBR;PRR5;Unkn;I4_7A;;28.18;28.18;0.000;;;;0.00000;60.0;
;E06;SYBR;PRR5;Unkn;I4_7B;;28.63;28.63;0.000;;;;0.00000;60.0;
;E07;SYBR;PRR5;Unkn;I4_8A;;26.99;26.99;0.000;;;;0.00000;60.0;
;E08;SYBR;PRR5;Unkn;I4_8B;;;0.00;0.000;;;0.00000;0.00000;60.0;
;E09;SYBR;PRR5;Unkn;I4_8C;;28.78;28.78;0.000;;;;0.00000;60.0;
;E10;SYBR;PRR5;Unkn;I4_8D;;28.01;28.01;0.000;;;;0.00000;60.0;
;E11;SYBR;PRR5;Unkn;I4_9A;;31.69;31.69;0.000;;;;0.00000;60.0;
;E12;SYBR;PRR5;Unkn;I4_9B;;23.43;23.43;0.000;;;;0.00000;60.0;
;F01;SYBR;PRR5;Unkn;I4_9C;;26.91;26.91;0.000;;;;0.00000;60.0;
;F02;SYBR;PRR5;Unkn;I4_9D;;25.96;25.96;0.000;;;;0.00000;60.0;
;F03;SYBR;PRR5;Unkn;I4_10A;;23.00;23.00;0.000;;;;0.00000;60.0;
;F04;SYBR;PRR5;Unkn;I4_10B;;28.69;28.69;0.000;;;;0.00000;60.0;
;F05;SYBR;PRR5;Unkn;I4_10C;;26.28;26.28;0.000;;;;0.00000;60.0;
;F06;SYBR;PRR5;Unkn;I4_10D;;24.84;24.84;0.000;;;;0.00000;60.0;
;F07;SYBR;PRR5;Unkn;I4_11A;;32.12;32.12;0.000;;;;0.00000;60.0;
;F08;SYBR;PRR5;Unkn;I4_11B;;25.86;25.86;0.000;;;;0.00000;60.0;
;F09;SYBR;PRR5;Unkn;I4_11C;;24.14;24.14;0.000;;;;0.00000;60.0;
;F10;SYBR;PRR5;Unkn;I4_11D;;24.13;24.13;0.000;;;;0.00000;60.0;
;F11;SYBR;PRR5;Unkn;I4_12A;;26.53;26.53;0.000;;;;0.00000;60.0;
;F12;SYBR;PRR5;Unkn;I4_12B;;27.94;27.94;0.000;;;;0.00000;60.0;
;G01;SYBR;PRR5;Unkn;I4_12C;;30.23;30.23;0.000;;;;0.00000;60.0;
;G02;SYBR;PRR5;Unkn;I4_12D;;25.79;25.79;0.000;;;;0.00000;60.0;
;G03;SYBR;PRR5;Unkn;I4_13A;;28.37;28.37;0.000;;;;0.00000;60.0;
;G04;SYBR;PRR5;Unkn;I4_13B;;30.39;30.39;0.000;;;;0.00000;60.0;
;G05;SYBR;PRR5;Unkn;I4_13C;;26.13;26.13;0.000;;;;0.00000;60.0;
;G06;SYBR;PRR5;Unkn;I4_13D;;25.25;25.25;0.000;;;;0.00000;60.0;
;G07;SYBR;PRR5;Unkn;BLANK;;;0.00;0.000;;;0.00000;0.00000;60.0;
