;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;PRR9;Unkn;N2_1A;;33,0599610152908;33,0599610152908;0;NaN;NaN;NaN;0;60;
;A02;SYBR;PRR9;Unkn;N2_1B;;34,0373824961766;34,0373824961766;0;NaN;NaN;NaN;0;60;
;A03;SYBR;PRR9;Unkn;N2_2A;;28,8741676168981;28,8741676168981;0;NaN;NaN;NaN;0;60;
;A04;SYBR;PRR9;Unkn;N2_2B;;25,247437794093;25,247437794093;0;NaN;NaN;NaN;0;60;
;A05;SYBR;PRR9;Unkn;N2_3A;;24,2007681733806;24,2007681733806;0;NaN;NaN;NaN;0;60;
;A06;SYBR;PRR9;Unkn;N2_3B;;23,0687128108131;23,0687128108131;0;NaN;NaN;NaN;0;60;
;A07;SYBR;PRR9;Unkn;N2_4A;;27,5289150581986;27,5289150581986;0;NaN;NaN;NaN;0;60;
;A08;SYBR;PRR9;Unkn;N2_4B;;32,6169368143681;32,6169368143681;0;NaN;NaN;NaN;0;60;
;A09;SYBR;PRR9;Unkn;N2_5A;;28,7774166551303;28,7774166551303;0;NaN;NaN;NaN;0;60;
;A10;SYBR;PRR9;Unkn;N2_5B;;30,1802737293297;30,1802737293297;0;NaN;NaN;NaN;0;60;
;A11;SYBR;PRR9;Unkn;N2_6A;;31,3687273879112;31,3687273879112;0;NaN;NaN;NaN;0;60;
;A12;SYBR;PRR9;Unkn;N2_6B;;35,2599441912574;35,2599441912574;0;NaN;NaN;NaN;0;60;
;B01;SYBR;PRR9;Unkn;N2_7A;;31,0918850802291;31,0918850802291;0;NaN;NaN;NaN;0;60;
;B02;SYBR;PRR9;Unkn;N2_7B;;33,5052122388086;33,5052122388086;0;NaN;NaN;NaN;0;60;
;B03;SYBR;PRR9;Unkn;N2_8A;;24,6906361870291;24,6906361870291;0;NaN;NaN;NaN;0;60;
;B04;SYBR;PRR9;Unkn;N2_8B;;24,1506904336268;24,1506904336268;0;NaN;NaN;NaN;0;60;
;B05;SYBR;PRR9;Unkn;N2_8C;;27,8133264337706;27,8133264337706;0;NaN;NaN;NaN;0;60;
;B06;SYBR;PRR9;Unkn;N2_8D;;30,801578676158;30,801578676158;0;NaN;NaN;NaN;0;60;
;B07;SYBR;PRR9;Unkn;N2_9A;;23,4515653081879;23,4515653081879;0;NaN;NaN;NaN;0;60;
;B08;SYBR;PRR9;Unkn;N2_9B;;22,9566676900508;22,9566676900508;0;NaN;NaN;NaN;0;60;
;B09;SYBR;PRR9;Unkn;N2_9C;;27,8081219332814;27,8081219332814;0;NaN;NaN;NaN;0;60;
;B10;SYBR;PRR9;Unkn;N2_9D;;29,1377302071071;29,1377302071071;0;NaN;NaN;NaN;0;60;
;B11;SYBR;PRR9;Unkn;I1_13D;;31,1189205352459;31,1189205352459;0;NaN;NaN;NaN;0;60;
;B12;SYBR;PRR9;Unkn;N2_10B;;28,1329817186295;28,1329817186295;0;NaN;NaN;NaN;0;60;
;C01;SYBR;PRR9;Unkn;N2_10C;;29,2903788314259;29,2903788314259;0;NaN;NaN;NaN;0;60;
;C02;SYBR;PRR9;Unkn;N2_10D;;30,5629869192775;30,5629869192775;0;NaN;NaN;NaN;0;60;
;C03;SYBR;PRR9;Unkn;N2_11A;;29,0678062379003;29,0678062379003;0;NaN;NaN;NaN;0;60;
;C04;SYBR;PRR9;Unkn;N2_11B;;31,5002768900749;31,5002768900749;0;NaN;NaN;NaN;0;60;
;C05;SYBR;PRR9;Unkn;N2_11C;;29,8300643256503;29,8300643256503;0;NaN;NaN;NaN;0;60;
;C06;SYBR;PRR9;Unkn;N2_11D;;31,3361643096988;31,3361643096988;0;NaN;NaN;NaN;0;60;
