,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,LUX,Unkn,N13_1A,,"31,2651848879724","31,2651848879724",0,NaN,NaN,NaN,0,60,
,A02,SYBR,LUX,Unkn,N13_1B,,"33,1219851507233","33,1219851507233",0,NaN,NaN,NaN,0,60,
,A03,SYBR,LUX,Unkn,N13_2A,,"32,2461904495658","32,2461904495658",0,NaN,NaN,NaN,0,60,
,A04,SYBR,LUX,Unkn,N13_2B,,"34,0534646018447","34,0534646018447",0,NaN,NaN,NaN,0,60,
,A05,SYBR,LUX,Unkn,N13_3A,,"30,6849461329837","30,6849461329837",0,NaN,NaN,NaN,0,60,
,A06,SYBR,LUX,Unkn,N13_3B,,"29,0235013689232","29,0235013689232",0,NaN,NaN,NaN,0,60,
,A07,SYBR,LUX,Unkn,N13_4A,,"28,2769200355532","28,2769200355532",0,NaN,NaN,NaN,0,60,
,A08,SYBR,LUX,Unkn,N13_4B,,"26,8836843579014","26,8836843579014",0,NaN,NaN,NaN,0,60,
,A09,SYBR,LUX,Unkn,N13_5A,,"28,0684994447681","28,0684994447681",0,NaN,NaN,NaN,0,60,
,A10,SYBR,LUX,Unkn,N13_5B,,"28,8343452632221","28,8343452632221",0,NaN,NaN,NaN,0,60,
,A11,SYBR,LUX,Unkn,N13_6A,,"28,1267647528257","28,1267647528257",0,NaN,NaN,NaN,0,60,
,A12,SYBR,LUX,Unkn,N13_6B,,"30,2898447443303","30,2898447443303",0,NaN,NaN,NaN,0,60,
,B01,SYBR,LUX,Unkn,N13_7A,,"29,8041943701124","29,8041943701124",0,NaN,NaN,NaN,0,60,
,B02,SYBR,LUX,Unkn,N13_7B,,"33,525437067486","33,525437067486",0,NaN,NaN,NaN,0,60,
,B03,SYBR,LUX,Unkn,N13_8A,,"31,5821083317587","31,5821083317587",0,NaN,NaN,NaN,0,60,
,B04,SYBR,LUX,Unkn,N13_8B,,"32,7447794487878","32,7447794487878",0,NaN,NaN,NaN,0,60,
,B05,SYBR,LUX,Unkn,N13_8C,,"33,6318627521733","33,6318627521733",0,NaN,NaN,NaN,0,60,
,B06,SYBR,LUX,Unkn,N13_8D,,"34,1086249977823","34,1086249977823",0,NaN,NaN,NaN,0,60,
,B07,SYBR,LUX,Unkn,N13_9A,,"31,1848951799456","31,1848951799456",0,NaN,NaN,NaN,0,60,
,B08,SYBR,LUX,Unkn,N13_9B,,"28,8779452866217","28,8779452866217",0,NaN,NaN,NaN,0,60,
,B09,SYBR,LUX,Unkn,N13_9D,,"33,6065729898516","33,6065729898516",0,NaN,NaN,NaN,0,60,
,B10,SYBR,LUX,Unkn,N13_9C,,"33,6500832368009","33,6500832368009",0,NaN,NaN,NaN,0,60,
,B11,SYBR,LUX,Unkn,N13_10A,,"28,7754097668316","28,7754097668316",0,NaN,NaN,NaN,0,60,
,B12,SYBR,LUX,Unkn,N13_10B,,"28,443261784611","28,443261784611",0,NaN,NaN,NaN,0,60,
,C01,SYBR,LUX,Unkn,N13_10C,,"32,5659555908648","32,5659555908648",0,NaN,NaN,NaN,0,60,
,C02,SYBR,LUX,Unkn,N13_10D,,"31,230303830449","31,230303830449",0,NaN,NaN,NaN,0,60,
,C03,SYBR,LUX,Unkn,N13_11A,,"29,4513031191244","29,4513031191244",0,NaN,NaN,NaN,0,60,
,C04,SYBR,LUX,Unkn,N13_11B,,"29,992628087857","29,992628087857",0,NaN,NaN,NaN,0,60,
